SIORG,Nome do Órgão,Última Atualização,Sigla/Nome do Software,Finalidade/Descrição,Área,Criticidade,Categoria 1,Categoria 2,Categoria 3,Compartilhar?,Por quê não compartilhar?,Nível de satisfação com o uso,Plataforma Operacional,Sistema Operacional,Linguagem de Programação,Banco de Dados,Frameworks/Bibliotecas,Integrações,Situação
45104,Abin – Agência Brasileira de Inteligência,42513,ARENA,Sistema que aplica a metodologia Análise de Risco com Ênfase na Ameaça.,Fim,Alta,,,Análise de risco,Não,Metodologia e conteúdo sensíveis,Atende às expectativas,Web,Linux e Windows,PHP e Java,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,ATHENA,"Serviço de mensageria instantânea e cifrada, por meio da Internet, para plataforma móvel.",Fim,Alta,Comunicações,,,Não,Algorítimo de criptografia de Estado,Atende às expectativas,Mobile,Linux e Android,Java,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,PAINEL ABIN,Serviço em plataforma web para armazenamento e transmissão de dados e informações. ,Fim,Alta,Comunicações,Gerenciamento de Conteúdo,,Não,Gerenciamento de conteúdo sensível inerente à atividade do orgão,Atende às expectativas,Web,Linux,PHP ,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,CICLO,Conjunto integrado de sistemas da informação voltados para os processos administrativos-financeiros e de recursos humanos.,Meio,Alta,Administração,,,Sim,"SIM, Projeto aberto da UFRN mediante convênio",Precisa melhorar,Web,Linux,Java,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,Portais Abin,"Conjunto de sítios para divulgação de conteúdo institucional, eventos, notícias, boletins, fóruns, formulários, informações administrativas, consulta a dados cadastrais, contracheque, cadastro de visitantes, pesquisa em acervo bibliotecário, e atendimento ao usuário.",Meio,Alta,Comunicações,Portais Internet,,Não,Manter sigilo sobre a tecnologia utilizada para não vulnerabilizar,Atende às expectativas,Web,Linux,PHP ,PostgreeSQL,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,Análise de Vínculos,"A solução consiste em software de análise de vínculos baseado em ontologias como ferramenta tecnológica de gestão da informação, com a capacidade de ampliar e automatizar a tarefa de integração de dados e identificação de relacionamentos da base de conhecimento.",Fim,Alta,,,Análise de vínculos,Não,Solução comercial disponível para aquisição no mercado.,Atende às expectativas,Cliente/Servidor,Windows,C++ e .NET,Microsoft SQL Server 2012,,,Em produção
45104,Abin – Agência Brasileira de Inteligência,42513,SARHA,Sistema de apoio a recursos humanos e a sua administração.,Meio,Alta,Administração,Recursos Humanos,,Não,Legado,Precisa melhorar,Cliente/Servidor,Linux,Forms,Oracle,,,Em produção
4243,AEB – Agência Espacial Brasileira,42513,AEB Cloud,Sistema open-source de armazenamento em nuvem ,Meio,Baixa,Administração,Gerenciamento de Conteúdo,,Sim,,Atende às expectativas,Cliente/Servidor,Ubuntu,PHP,MySQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Proton,Sistema de protocolo,Meio,Alta,Administração,GED – Gestão Eletrônica de Documentos,,Não,Software proprietario,Atende às expectativas,Cliente/Servidor,CentOS,PHP,PostgreSQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Almoxarifado,Sistema de controle de produtos do almoxarifado,Meio,Baixa,Administração,Patrimônio,,Não,O sistema não atende todos os requisitos da área,Precisa melhorar,Cliente/Servidor,CentOS,JAVA,MySQL,,AD,Em produção
4243,AEB – Agência Espacial Brasileira,42513,Patrimonio,Sistema de controle de patrimônio,Meio,Média,Administração,Patrimônio,,Não,Sistema desenvolvido pelo INPE.,Atende às expectativas,Cliente/Servidor,CentOS,JAVA,MySQL,,AD,Em produção
